MGA_ID	SRP	SRX	SRS	SRR	TAXID	TAXA	GCP_PATH	AWS_PATH
nmdc:mga08j52	SRP190865	SRX5636966	SRS4582705	SRR8849208	408170	human gut metagenome	gs://psss-metagenomics-codeathon-data/gut/nmdc:mga08j52	s3://psss-metagenomics-codeathon-data/gut/nmdc:mga08j52
nmdc:mga0j795	SRP190865	SRX5636885	SRS4582624	SRR8849289	408170	human gut metagenome	gs://psss-metagenomics-codeathon-data/gut/nmdc:mga0j795	s3://psss-metagenomics-codeathon-data/gut/nmdc:mga0j795
nmdc:mga02197	SRP278138	SRX9564128	SRS7767240	SRR13122219	408172	marine metagenome	gs://psss-metagenomics-codeathon-data/marine/nmdc:mga02197	s3://psss-metagenomics-codeathon-data/marine/nmdc:mga02197
nmdc:mga0qh70	SRP278138	SRX8973794	SRS7229387	SRR12480103	408172	marine metagenome	gs://psss-metagenomics-codeathon-data/marine/nmdc:mga0qh70	s3://psss-metagenomics-codeathon-data/marine/nmdc:mga0qh70
nmdc:mga0f210	SRP190865	SRX5636958	SRS4582697	SRR8849216	408170	human gut metagenome	gs://psss-metagenomics-codeathon-data/gut/nmdc:mga0f210	s3://psss-metagenomics-codeathon-data/gut/nmdc:mga0f210
nmdc:mga0em52	SRP190865	SRX5636973	SRS4582712	SRR8849201	408170	human gut metagenome	gs://psss-metagenomics-codeathon-data/gut/nmdc:mga0em52	s3://psss-metagenomics-codeathon-data/gut/nmdc:mga0em52
nmdc:mga0rj68	SRP190865	SRX5636960	SRS4582699	SRR8849214	408170	human gut metagenome	gs://psss-metagenomics-codeathon-data/gut/nmdc:mga0rj68	s3://psss-metagenomics-codeathon-data/gut/nmdc:mga0rj68
nmdc:mga0nn56	SRP190865	SRX5636934	SRS4582673	SRR8849240	408170	human gut metagenome	gs://psss-metagenomics-codeathon-data/gut/nmdc:mga0nn56	s3://psss-metagenomics-codeathon-data/gut/nmdc:mga0nn56
nmdc:mga0b497	SRP278138	SRX9564192	SRS7760193	SRR13122155	408172	marine metagenome	gs://psss-metagenomics-codeathon-data/marine/nmdc:mga0b497	s3://psss-metagenomics-codeathon-data/marine/nmdc:mga0b497
nmdc:mga04684	SRP190865	SRX5636895	SRS4582634	SRR8849279	408170	human gut metagenome	gs://psss-metagenomics-codeathon-data/gut/nmdc:mga04684	s3://psss-metagenomics-codeathon-data/gut/nmdc:mga04684
nmdc:mga0s705	SRP190865	SRX5636970	SRS4582709	SRR8849204	408170	human gut metagenome	gs://psss-metagenomics-codeathon-data/gut/nmdc:mga0s705	s3://psss-metagenomics-codeathon-data/gut/nmdc:mga0s705
nmdc:mga0ke75	SRP190865	SRX5636921	SRS4582660	SRR8849253	408170	human gut metagenome	gs://psss-metagenomics-codeathon-data/gut/nmdc:mga0ke75	s3://psss-metagenomics-codeathon-data/gut/nmdc:mga0ke75
nmdc:mga0x030	SRP278138	SRX8974165	SRS7229758	SRR12480197	408172	marine metagenome	gs://psss-metagenomics-codeathon-data/marine/nmdc:mga0x030	s3://psss-metagenomics-codeathon-data/marine/nmdc:mga0x030
nmdc:mga0jz23	SRP190865	SRX5636910	SRS4582649	SRR8849264	408170	human gut metagenome	gs://psss-metagenomics-codeathon-data/gut/nmdc:mga0jz23	s3://psss-metagenomics-codeathon-data/gut/nmdc:mga0jz23
nmdc:mga0bd70	SRP190865	SRX5636926	SRS4582665	SRR8849248	408170	human gut metagenome	gs://psss-metagenomics-codeathon-data/gut/nmdc:mga0bd70	s3://psss-metagenomics-codeathon-data/gut/nmdc:mga0bd70
nmdc:mga0zc93	SRP190865	SRX5636968	SRS4582707	SRR8849206	408170	human gut metagenome	gs://psss-metagenomics-codeathon-data/gut/nmdc:mga0zc93	s3://psss-metagenomics-codeathon-data/gut/nmdc:mga0zc93
nmdc:mga0hf70	SRP278138	SRX8973912	SRS7229506	SRR12479985	408172	marine metagenome	gs://psss-metagenomics-codeathon-data/marine/nmdc:mga0hf70	s3://psss-metagenomics-codeathon-data/marine/nmdc:mga0hf70
nmdc:mga0cx23	SRP190865	SRX5636904	SRS4582643	SRR8849270	408170	human gut metagenome	gs://psss-metagenomics-codeathon-data/gut/nmdc:mga0cx23	s3://psss-metagenomics-codeathon-data/gut/nmdc:mga0cx23
nmdc:mga09689	SRP190865	SRX5636954	SRS4582693	SRR8849220	408170	human gut metagenome	gs://psss-metagenomics-codeathon-data/gut/nmdc:mga09689	s3://psss-metagenomics-codeathon-data/gut/nmdc:mga09689
nmdc:mga04781	SRP278138	SRX9564071	SRS7772446	SRR13122276	408172	marine metagenome	gs://psss-metagenomics-codeathon-data/marine/nmdc:mga04781	s3://psss-metagenomics-codeathon-data/marine/nmdc:mga04781
nmdc:mga0wr54	SRP190865	SRX5636922	SRS4582661	SRR8849252	408170	human gut metagenome	gs://psss-metagenomics-codeathon-data/gut/nmdc:mga0wr54	s3://psss-metagenomics-codeathon-data/gut/nmdc:mga0wr54
nmdc:mga03a71	SRP190865	SRX5636901	SRS4582640	SRR8849273	408170	human gut metagenome	gs://psss-metagenomics-codeathon-data/gut/nmdc:mga03a71	s3://psss-metagenomics-codeathon-data/gut/nmdc:mga03a71
nmdc:mga0py30	SRP278138	SRX8973623	SRS7229216	SRR12479809	408172	marine metagenome	gs://psss-metagenomics-codeathon-data/marine/nmdc:mga0py30	s3://psss-metagenomics-codeathon-data/marine/nmdc:mga0py30
nmdc:mga0nd80	SRP278138	SRX9564256	SRS7758293	SRR13122091	408172	marine metagenome	gs://psss-metagenomics-codeathon-data/marine/nmdc:mga0nd80	s3://psss-metagenomics-codeathon-data/marine/nmdc:mga0nd80
nmdc:mga07008	SRP190865	SRX5636975	SRS4582714	SRR8849199	408170	human gut metagenome	gs://psss-metagenomics-codeathon-data/gut/nmdc:mga07008	s3://psss-metagenomics-codeathon-data/gut/nmdc:mga07008
nmdc:mga06w20	SRP278138	SRX9564146	SRS7758535	SRR13122201	408172	marine metagenome	gs://psss-metagenomics-codeathon-data/marine/nmdc:mga06w20	s3://psss-metagenomics-codeathon-data/marine/nmdc:mga06w20
nmdc:mga05685	SRP278138	SRX8973620	SRS7229213	SRR12479812	408172	marine metagenome	gs://psss-metagenomics-codeathon-data/marine/nmdc:mga05685	s3://psss-metagenomics-codeathon-data/marine/nmdc:mga05685
nmdc:mga0df66	SRP190865	SRX5636929	SRS4582668	SRR8849245	408170	human gut metagenome	gs://psss-metagenomics-codeathon-data/gut/nmdc:mga0df66	s3://psss-metagenomics-codeathon-data/gut/nmdc:mga0df66
nmdc:mga06s29	SRP278138	SRX8974126	SRS7229719	SRR12480236	408172	marine metagenome	gs://psss-metagenomics-codeathon-data/marine/nmdc:mga06s29	s3://psss-metagenomics-codeathon-data/marine/nmdc:mga06s29
nmdc:mga0m312	SRP190865	SRX5636914	SRS4582653	SRR8849260	408170	human gut metagenome	gs://psss-metagenomics-codeathon-data/gut/nmdc:mga0m312	s3://psss-metagenomics-codeathon-data/gut/nmdc:mga0m312
nmdc:mga0k990	SRP190865	SRX5636905	SRS4582644	SRR8849269	408170	human gut metagenome	gs://psss-metagenomics-codeathon-data/gut/nmdc:mga0k990	s3://psss-metagenomics-codeathon-data/gut/nmdc:mga0k990
nmdc:mga0g987	SRP190865	SRX5636888	SRS4582627	SRR8849286	408170	human gut metagenome	gs://psss-metagenomics-codeathon-data/gut/nmdc:mga0g987	s3://psss-metagenomics-codeathon-data/gut/nmdc:mga0g987
