query,sample,present
ERR4080688.1,NC_045512,yes
ERR4080688.2,NC_045512,yes
ERR4080688.3,NC_045512,yes
ERR4080688.4,NC_045512,yes
ERR4080688.5,NC_045512,yes
ERR4080688.6,NC_045512,yes
ERR4080688.7,NC_045512,yes
ERR4080688.8,NC_045512,yes
ERR4080688.9,NC_045512,yes
ERR4080688.10,NC_045512,yes
ERR4080688.11,NC_045512,yes
ERR4080688.12,NC_045512,yes
ERR4080688.13,NC_045512,yes
ERR4080688.14,NC_045512,yes
ERR4080688.15,NC_045512,yes
ERR4080688.16,NC_045512,yes
ERR4080688.17,NC_045512,yes
ERR4080688.18,NC_045512,yes
ERR4080688.19,NC_045512,yes
ERR4080688.20,NC_045512,yes
ERR4080688.21,NC_045512,yes
ERR4080688.22,NC_045512,yes
ERR4080688.23,NC_045512,yes
ERR4080688.24,NC_045512,yes
ERR4080688.25,NC_045512,yes
ERR4080688.26,NC_045512,yes
ERR4080688.27,NC_045512,yes
ERR4080688.28,NC_045512,yes
ERR4080688.29,NC_045512,yes
ERR4080688.30,NC_045512,yes
ERR4080688.31,NC_045512,yes
ERR4080688.32,NC_045512,yes
ERR4080688.33,NC_045512,yes
ERR4080688.34,NC_045512,yes
ERR4080688.35,NC_045512,yes
ERR4080688.36,NC_045512,yes
ERR4080688.37,NC_045512,yes
ERR4080688.38,NC_045512,yes
ERR4080688.39,NC_045512,yes
ERR4080688.40,NC_045512,yes
ERR4080688.41,NC_045512,yes
ERR4080688.42,NC_045512,yes
ERR4080688.43,NC_045512,yes
ERR4080688.44,NC_045512,yes
ERR4080688.45,NC_045512,yes
ERR4080688.46,NC_045512,yes
ERR4080688.47,NC_045512,yes
ERR4080688.48,NC_045512,yes
ERR4080688.49,NC_045512,yes
ERR4080688.50,NC_045512,yes
ERR4080688.51,NC_045512,yes
ERR4080688.52,NC_045512,yes
ERR4080688.53,NC_045512,yes
ERR4080688.54,NC_045512,yes
ERR4080688.55,NC_045512,yes
ERR4080688.56,NC_045512,yes
ERR4080688.57,NC_045512,yes
ERR4080688.58,NC_045512,yes
ERR4080688.59,NC_045512,yes
ERR4080688.60,NC_045512,yes
ERR4080688.61,NC_045512,yes
ERR4080688.62,NC_045512,yes
ERR4080688.63,NC_045512,yes
ERR4080688.64,NC_045512,yes
ERR4080688.65,NC_045512,yes
ERR4080688.66,NC_045512,yes
ERR4080688.67,NC_045512,yes
ERR4080688.68,NC_045512,yes
ERR4080688.69,NC_045512,yes
ERR4080688.70,NC_045512,yes
ERR4080688.71,NC_045512,yes
ERR4080688.72,NC_045512,yes
ERR4080688.73,NC_045512,yes
ERR4080688.74,NC_045512,yes
ERR4080688.75,NC_045512,yes
ERR4080688.76,NC_045512,yes
ERR4080688.77,NC_045512,yes
ERR4080688.78,NC_045512,yes
ERR4080688.79,NC_045512,yes
ERR4080688.80,NC_045512,yes
ERR4080688.81,NC_045512,yes
ERR4080688.82,NC_045512,yes
ERR4080688.83,NC_045512,yes
ERR4080688.84,NC_045512,yes
ERR4080688.85,NC_045512,yes
ERR4080688.86,NC_045512,yes
ERR4080688.87,NC_045512,yes
ERR4080688.88,NC_045512,yes
ERR4080688.89,NC_045512,yes
ERR4080688.90,NC_045512,yes
ERR4080688.91,NC_045512,yes
ERR4080688.92,NC_045512,yes
ERR4080688.93,NC_045512,yes
ERR4080688.94,NC_045512,yes
ERR4080688.95,NC_045512,yes
ERR4080688.96,NC_045512,yes
ERR4080688.97,NC_045512,yes
ERR4080688.98,NC_045512,yes
ERR4080688.99,NC_045512,yes
ERR4080688.100,NC_045512,yes
ERR4080688.101,NC_045512,yes
ERR4080688.102,NC_045512,yes
ERR4080688.103,NC_045512,yes
ERR4080688.104,NC_045512,yes
ERR4080688.105,NC_045512,yes
ERR4080688.106,NC_045512,yes
ERR4080688.107,NC_045512,yes
ERR4080688.108,NC_045512,yes
ERR4080688.109,NC_045512,yes
ERR4080688.110,NC_045512,yes
ERR4080688.111,NC_045512,yes
ERR4080688.112,NC_045512,yes
ERR4080688.113,NC_045512,yes
ERR4080688.114,NC_045512,yes
ERR4080688.115,NC_045512,yes
ERR4080688.116,NC_045512,yes
ERR4080688.117,NC_045512,yes
ERR4080688.118,NC_045512,yes
ERR4080688.119,NC_045512,yes
ERR4080688.120,NC_045512,yes
ERR4080688.121,NC_045512,yes
ERR4080688.122,NC_045512,yes
ERR4080688.123,NC_045512,yes
ERR4080688.124,NC_045512,yes
ERR4080688.125,NC_045512,yes
ERR4080688.126,NC_045512,yes
ERR4080688.127,NC_045512,yes
ERR4080688.128,NC_045512,yes
ERR4080688.129,NC_045512,yes
ERR4080688.130,NC_045512,yes
ERR4080688.131,NC_045512,yes
ERR4080688.132,NC_045512,yes
ERR4080688.133,NC_045512,yes
ERR4080688.134,NC_045512,yes
ERR4080688.135,NC_045512,yes
ERR4080688.136,NC_045512,yes
ERR4080688.137,NC_045512,yes
ERR4080688.138,NC_045512,yes
ERR4080688.139,NC_045512,yes
ERR4080688.140,NC_045512,yes
ERR4080688.141,NC_045512,yes
ERR4080688.142,NC_045512,yes
ERR4080688.143,NC_045512,yes
ERR4080688.144,NC_045512,yes
ERR4080688.145,NC_045512,yes
ERR4080688.146,NC_045512,yes
ERR4080688.147,NC_045512,yes
ERR4080688.148,NC_045512,yes
ERR4080688.149,NC_045512,yes
ERR4080688.150,NC_045512,yes
ERR4080688.151,NC_045512,yes
ERR4080688.152,NC_045512,yes
ERR4080688.153,NC_045512,yes
ERR4080688.154,NC_045512,yes
ERR4080688.155,NC_045512,yes
ERR4080688.156,NC_045512,yes
ERR4080688.157,NC_045512,yes
ERR4080688.158,NC_045512,yes
ERR4080688.159,NC_045512,yes
ERR4080688.160,NC_045512,yes
ERR4080688.161,NC_045512,yes
ERR4080688.162,NC_045512,yes
ERR4080688.163,NC_045512,yes
ERR4080688.164,NC_045512,yes
ERR4080688.165,NC_045512,yes
ERR4080688.166,NC_045512,yes
ERR4080688.167,NC_045512,yes
ERR4080688.168,NC_045512,yes
ERR4080688.169,NC_045512,yes
ERR4080688.170,NC_045512,yes
ERR4080688.171,NC_045512,yes
ERR4080688.172,NC_045512,yes
ERR4080688.173,NC_045512,yes
ERR4080688.174,NC_045512,yes
ERR4080688.175,NC_045512,yes
ERR4080688.176,NC_045512,yes
ERR4080688.177,NC_045512,yes
ERR4080688.178,NC_045512,yes
ERR4080688.179,NC_045512,yes
ERR4080688.180,NC_045512,yes
ERR4080688.181,NC_045512,yes
ERR4080688.182,NC_045512,yes
ERR4080688.183,NC_045512,yes
ERR4080688.184,NC_045512,yes
ERR4080688.185,NC_045512,yes
ERR4080688.186,NC_045512,yes
ERR4080688.187,NC_045512,yes
ERR4080688.188,NC_045512,yes
ERR4080688.189,NC_045512,yes
ERR4080688.190,NC_045512,yes
ERR4080688.191,NC_045512,yes
ERR4080688.192,NC_045512,yes
ERR4080688.193,NC_045512,yes
ERR4080688.194,NC_045512,yes
ERR4080688.195,NC_045512,yes
ERR4080688.196,NC_045512,yes
ERR4080688.197,NC_045512,yes
ERR4080688.198,NC_045512,yes
ERR4080688.199,NC_045512,yes
ERR4080688.200,NC_045512,yes
ERR4080688.201,NC_045512,yes
ERR4080688.202,NC_045512,yes
ERR4080688.203,NC_045512,yes
ERR4080688.204,NC_045512,yes
ERR4080688.205,NC_045512,yes
ERR4080688.206,NC_045512,yes
ERR4080688.207,NC_045512,yes
ERR4080688.208,NC_045512,yes
ERR4080688.209,NC_045512,yes
ERR4080688.210,NC_045512,yes
ERR4080688.211,NC_045512,yes
ERR4080688.212,NC_045512,yes
ERR4080688.213,NC_045512,yes
ERR4080688.214,NC_045512,yes
ERR4080688.215,NC_045512,yes
ERR4080688.216,NC_045512,yes
ERR4080688.217,NC_045512,yes
ERR4080688.218,NC_045512,yes
ERR4080688.219,NC_045512,yes
ERR4080688.220,NC_045512,yes
ERR4080688.221,NC_045512,yes
ERR4080688.222,NC_045512,yes
ERR4080688.223,NC_045512,yes
ERR4080688.224,NC_045512,yes
ERR4080688.225,NC_045512,yes
ERR4080688.226,NC_045512,yes
ERR4080688.227,NC_045512,yes
ERR4080688.228,NC_045512,yes
ERR4080688.229,NC_045512,yes
ERR4080688.230,NC_045512,yes
ERR4080688.231,NC_045512,yes
ERR4080688.232,NC_045512,yes
ERR4080688.233,NC_045512,yes
ERR4080688.234,NC_045512,yes
ERR4080688.235,NC_045512,yes
ERR4080688.236,NC_045512,yes
ERR4080688.237,NC_045512,yes
ERR4080688.238,NC_045512,yes
ERR4080688.239,NC_045512,yes
ERR4080688.240,NC_045512,yes
ERR4080688.241,NC_045512,yes
ERR4080688.242,NC_045512,yes
ERR4080688.243,NC_045512,yes
ERR4080688.244,NC_045512,yes
ERR4080688.245,NC_045512,yes
ERR4080688.246,NC_045512,yes
ERR4080688.247,NC_045512,yes
ERR4080688.248,NC_045512,yes
ERR4080688.249,NC_045512,yes
ERR4080688.250,NC_045512,yes
ERR4080688.251,NC_045512,yes
ERR4080688.252,NC_045512,yes
ERR4080688.253,NC_045512,yes
ERR4080688.254,NC_045512,yes
ERR4080688.255,NC_045512,yes
ERR4080688.256,NC_045512,yes
ERR4080688.257,NC_045512,yes
ERR4080688.258,NC_045512,yes
ERR4080688.259,NC_045512,yes
ERR4080688.260,NC_045512,yes
ERR4080688.261,NC_045512,yes
ERR4080688.262,NC_045512,yes
ERR4080688.263,NC_045512,yes
ERR4080688.264,NC_045512,yes
ERR4080688.265,NC_045512,yes
ERR4080688.266,NC_045512,yes
ERR4080688.267,NC_045512,yes
ERR4080688.268,NC_045512,yes
ERR4080688.269,NC_045512,yes
ERR4080688.270,NC_045512,yes
ERR4080688.271,NC_045512,yes
ERR4080688.272,NC_045512,yes
ERR4080688.273,NC_045512,yes
ERR4080688.274,NC_045512,yes
ERR4080688.275,NC_045512,yes
ERR4080688.276,NC_045512,yes
ERR4080688.277,NC_045512,yes
ERR4080688.278,NC_045512,yes
ERR4080688.279,NC_045512,yes
ERR4080688.280,NC_045512,yes
ERR4080688.281,NC_045512,yes
ERR4080688.282,NC_045512,yes
ERR4080688.283,NC_045512,yes
ERR4080688.284,NC_045512,yes
ERR4080688.285,NC_045512,yes
ERR4080688.286,NC_045512,yes
ERR4080688.287,NC_045512,yes
ERR4080688.288,NC_045512,yes
ERR4080688.289,NC_045512,yes
ERR4080688.290,NC_045512,yes
ERR4080688.291,NC_045512,yes
ERR4080688.292,NC_045512,yes
ERR4080688.293,NC_045512,yes
ERR4080688.294,NC_045512,yes
ERR4080688.295,NC_045512,yes
ERR4080688.296,NC_045512,yes
ERR4080688.297,NC_045512,yes
ERR4080688.298,NC_045512,yes
ERR4080688.299,NC_045512,yes
ERR4080688.300,NC_045512,yes
ERR4080688.301,NC_045512,yes
ERR4080688.302,NC_045512,yes
ERR4080688.303,NC_045512,yes
ERR4080688.304,NC_045512,yes
ERR4080688.305,NC_045512,yes
ERR4080688.306,NC_045512,yes
ERR4080688.307,NC_045512,yes
ERR4080688.308,NC_045512,yes
ERR4080688.309,NC_045512,yes
ERR4080688.310,NC_045512,yes
ERR4080688.311,NC_045512,yes
ERR4080688.312,NC_045512,yes
ERR4080688.313,NC_045512,yes
ERR4080688.314,NC_045512,yes
ERR4080688.315,NC_045512,yes
ERR4080688.316,NC_045512,yes
ERR4080688.317,NC_045512,yes
ERR4080688.318,NC_045512,yes
ERR4080688.319,NC_045512,yes
ERR4080688.320,NC_045512,yes
ERR4080688.321,NC_045512,yes
ERR4080688.322,NC_045512,yes
ERR4080688.323,NC_045512,yes
ERR4080688.324,NC_045512,yes
ERR4080688.325,NC_045512,yes
ERR4080688.326,NC_045512,yes
ERR4080688.327,NC_045512,yes
ERR4080688.328,NC_045512,yes
ERR4080688.329,NC_045512,yes
ERR4080688.330,NC_045512,yes
ERR4080688.331,NC_045512,yes
ERR4080688.332,NC_045512,yes
ERR4080688.333,NC_045512,yes
ERR4080688.334,NC_045512,yes
ERR4080688.335,NC_045512,yes
ERR4080688.336,NC_045512,yes
ERR4080688.337,NC_045512,yes
ERR4080688.338,NC_045512,yes
ERR4080688.339,NC_045512,yes
ERR4080688.340,NC_045512,yes
ERR4080688.341,NC_045512,yes
ERR4080688.342,NC_045512,yes
ERR4080688.343,NC_045512,yes
ERR4080688.344,NC_045512,yes
ERR4080688.345,NC_045512,yes
ERR4080688.346,NC_045512,yes
ERR4080688.347,NC_045512,yes
ERR4080688.348,NC_045512,yes
ERR4080688.349,NC_045512,yes
ERR4080688.350,NC_045512,yes
ERR4080688.351,NC_045512,yes
ERR4080688.352,NC_045512,yes
ERR4080688.353,NC_045512,yes
ERR4080688.354,NC_045512,yes
ERR4080688.355,NC_045512,yes
ERR4080688.356,NC_045512,yes
ERR4080688.357,NC_045512,yes
ERR4080688.358,NC_045512,yes
ERR4080688.359,NC_045512,yes
ERR4080688.360,NC_045512,yes
ERR4080688.361,NC_045512,yes
ERR4080688.362,NC_045512,yes
ERR4080688.363,NC_045512,yes
ERR4080688.364,NC_045512,yes
ERR4080688.365,NC_045512,yes
ERR4080688.366,NC_045512,yes
ERR4080688.367,NC_045512,yes
ERR4080688.368,NC_045512,yes
ERR4080688.369,NC_045512,yes
ERR4080688.370,NC_045512,yes
ERR4080688.371,NC_045512,yes
ERR4080688.372,NC_045512,yes
ERR4080688.373,NC_045512,yes
ERR4080688.374,NC_045512,yes
ERR4080688.375,NC_045512,yes
ERR4080688.376,NC_045512,yes
ERR4080688.377,NC_045512,yes
ERR4080688.378,NC_045512,yes
ERR4080688.379,NC_045512,yes
ERR4080688.380,NC_045512,yes
ERR4080688.381,NC_045512,yes
ERR4080688.382,NC_045512,yes
ERR4080688.383,NC_045512,yes
ERR4080688.384,NC_045512,yes
ERR4080688.385,NC_045512,yes
ERR4080688.386,NC_045512,yes
ERR4080688.387,NC_045512,yes
ERR4080688.388,NC_045512,yes
ERR4080688.389,NC_045512,yes
ERR4080688.390,NC_045512,yes
ERR4080688.391,NC_045512,yes
ERR4080688.392,NC_045512,yes
ERR4080688.393,NC_045512,yes
ERR4080688.394,NC_045512,yes
ERR4080688.395,NC_045512,yes
ERR4080688.396,NC_045512,yes
ERR4080688.397,NC_045512,yes
ERR4080688.398,NC_045512,yes
ERR4080688.399,NC_045512,yes
ERR4080688.400,NC_045512,yes
ERR4080688.401,NC_045512,yes
ERR4080688.402,NC_045512,yes
ERR4080688.403,NC_045512,yes
ERR4080688.404,NC_045512,yes
ERR4080688.405,NC_045512,yes
ERR4080688.406,NC_045512,yes
ERR4080688.407,NC_045512,yes
ERR4080688.408,NC_045512,yes
ERR4080688.409,NC_045512,yes
ERR4080688.410,NC_045512,yes
ERR4080688.411,NC_045512,yes
ERR4080688.412,NC_045512,yes
ERR4080688.413,NC_045512,yes
ERR4080688.414,NC_045512,yes
ERR4080688.415,NC_045512,yes
ERR4080688.416,NC_045512,yes
ERR4080688.417,NC_045512,yes
ERR4080688.418,NC_045512,yes
ERR4080688.419,NC_045512,yes
ERR4080688.420,NC_045512,yes
ERR4080688.421,NC_045512,yes
ERR4080688.422,NC_045512,yes
ERR4080688.423,NC_045512,yes
ERR4080688.424,NC_045512,yes
ERR4080688.425,NC_045512,yes
ERR4080688.426,NC_045512,yes
ERR4080688.427,NC_045512,yes
ERR4080688.428,NC_045512,yes
ERR4080688.429,NC_045512,yes
ERR4080688.430,NC_045512,yes
ERR4080688.431,NC_045512,yes
ERR4080688.432,NC_045512,yes
ERR4080688.433,NC_045512,yes
ERR4080688.434,NC_045512,yes
ERR4080688.435,NC_045512,yes
ERR4080688.436,NC_045512,yes
ERR4080688.437,NC_045512,yes
ERR4080688.438,NC_045512,yes
ERR4080688.439,NC_045512,yes
ERR4080688.440,NC_045512,yes
ERR4080688.441,NC_045512,yes
ERR4080688.442,NC_045512,yes
ERR4080688.443,NC_045512,yes
ERR4080688.444,NC_045512,yes
ERR4080688.445,NC_045512,yes
ERR4080688.446,NC_045512,yes
ERR4080688.447,NC_045512,yes
ERR4080688.448,NC_045512,yes
ERR4080688.449,NC_045512,yes
ERR4080688.450,NC_045512,yes
ERR4080688.451,NC_045512,yes
ERR4080688.452,NC_045512,yes
ERR4080688.453,NC_045512,yes
ERR4080688.454,NC_045512,yes
ERR4080688.455,NC_045512,yes
ERR4080688.456,NC_045512,yes
ERR4080688.457,NC_045512,yes
ERR4080688.458,NC_045512,yes
ERR4080688.459,NC_045512,yes
ERR4080688.460,NC_045512,yes
ERR4080688.461,NC_045512,yes
ERR4080688.462,NC_045512,yes
ERR4080688.463,NC_045512,yes
ERR4080688.464,NC_045512,yes
ERR4080688.465,NC_045512,yes
ERR4080688.466,NC_045512,yes
ERR4080688.467,NC_045512,yes
ERR4080688.468,NC_045512,yes
ERR4080688.469,NC_045512,yes
ERR4080688.470,NC_045512,yes
ERR4080688.471,NC_045512,yes
ERR4080688.472,NC_045512,yes
ERR4080688.473,NC_045512,yes
ERR4080688.474,NC_045512,yes
ERR4080688.475,NC_045512,yes
ERR4080688.476,NC_045512,yes
ERR4080688.477,NC_045512,yes
ERR4080688.478,NC_045512,yes
ERR4080688.479,NC_045512,yes
ERR4080688.480,NC_045512,yes
ERR4080688.481,NC_045512,yes
ERR4080688.482,NC_045512,yes
ERR4080688.483,NC_045512,yes
ERR4080688.484,NC_045512,yes
ERR4080688.485,NC_045512,yes
ERR4080688.486,NC_045512,yes
ERR4080688.487,NC_045512,yes
ERR4080688.488,NC_045512,yes
ERR4080688.489,NC_045512,yes
ERR4080688.490,NC_045512,yes
ERR4080688.491,NC_045512,yes
ERR4080688.492,NC_045512,yes
ERR4080688.493,NC_045512,yes
ERR4080688.494,NC_045512,yes
ERR4080688.495,NC_045512,yes
ERR4080688.496,NC_045512,yes
ERR4080688.497,NC_045512,yes
ERR4080688.498,NC_045512,yes
ERR4080688.499,NC_045512,yes
ERR4080688.500,NC_045512,yes
