query,sample,present
SRR15657795.1,NC_045512,no
SRR15657795.2,NC_045512,no
SRR15657795.3,NC_045512,no
SRR15657795.4,NC_045512,no
SRR15657795.5,NC_045512,no
SRR15657795.6,NC_045512,no
SRR15657795.7,NC_045512,no
SRR15657795.8,NC_045512,no
SRR15657795.9,NC_045512,no
SRR15657795.10,NC_045512,no
SRR15657795.11,NC_045512,no
SRR15657795.12,NC_045512,no
SRR15657795.13,NC_045512,no
SRR15657795.14,NC_045512,no
SRR15657795.15,NC_045512,no
SRR15657795.16,NC_045512,no
SRR15657795.17,NC_045512,no
SRR15657795.18,NC_045512,no
SRR15657795.19,NC_045512,no
SRR15657795.20,NC_045512,no
SRR15657795.21,NC_045512,no
SRR15657795.22,NC_045512,no
SRR15657795.23,NC_045512,no
SRR15657795.24,NC_045512,no
SRR15657795.25,NC_045512,no
SRR15657795.26,NC_045512,no
SRR15657795.27,NC_045512,no
SRR15657795.28,NC_045512,no
SRR15657795.29,NC_045512,no
SRR15657795.30,NC_045512,no
SRR15657795.31,NC_045512,no
SRR15657795.32,NC_045512,no
SRR15657795.33,NC_045512,no
SRR15657795.34,NC_045512,no
SRR15657795.35,NC_045512,no
SRR15657795.36,NC_045512,no
SRR15657795.37,NC_045512,no
SRR15657795.38,NC_045512,no
SRR15657795.39,NC_045512,no
SRR15657795.40,NC_045512,no
SRR15657795.41,NC_045512,no
SRR15657795.42,NC_045512,no
SRR15657795.43,NC_045512,no
SRR15657795.44,NC_045512,no
SRR15657795.45,NC_045512,no
SRR15657795.46,NC_045512,no
SRR15657795.47,NC_045512,no
SRR15657795.48,NC_045512,no
SRR15657795.49,NC_045512,no
SRR15657795.50,NC_045512,no
SRR15657795.51,NC_045512,no
SRR15657795.52,NC_045512,no
SRR15657795.53,NC_045512,no
SRR15657795.54,NC_045512,no
SRR15657795.55,NC_045512,no
SRR15657795.56,NC_045512,no
SRR15657795.57,NC_045512,no
SRR15657795.58,NC_045512,no
SRR15657795.59,NC_045512,no
SRR15657795.60,NC_045512,no
SRR15657795.61,NC_045512,no
SRR15657795.62,NC_045512,no
SRR15657795.63,NC_045512,no
SRR15657795.64,NC_045512,no
SRR15657795.65,NC_045512,no
SRR15657795.66,NC_045512,no
SRR15657795.67,NC_045512,no
SRR15657795.68,NC_045512,no
SRR15657795.69,NC_045512,no
SRR15657795.70,NC_045512,no
SRR15657795.71,NC_045512,no
SRR15657795.72,NC_045512,no
SRR15657795.73,NC_045512,no
SRR15657795.74,NC_045512,no
SRR15657795.75,NC_045512,no
SRR15657795.76,NC_045512,no
SRR15657795.77,NC_045512,no
SRR15657795.78,NC_045512,no
SRR15657795.79,NC_045512,no
SRR15657795.80,NC_045512,no
SRR15657795.81,NC_045512,no
SRR15657795.82,NC_045512,no
SRR15657795.83,NC_045512,no
SRR15657795.84,NC_045512,no
SRR15657795.85,NC_045512,no
SRR15657795.86,NC_045512,no
SRR15657795.87,NC_045512,no
SRR15657795.88,NC_045512,no
SRR15657795.89,NC_045512,no
SRR15657795.90,NC_045512,no
SRR15657795.91,NC_045512,no
SRR15657795.92,NC_045512,no
SRR15657795.93,NC_045512,no
SRR15657795.94,NC_045512,no
SRR15657795.95,NC_045512,no
SRR15657795.96,NC_045512,no
SRR15657795.97,NC_045512,no
SRR15657795.98,NC_045512,no
SRR15657795.99,NC_045512,no
SRR15657795.100,NC_045512,no
SRR15657795.101,NC_045512,no
SRR15657795.102,NC_045512,no
SRR15657795.103,NC_045512,no
SRR15657795.104,NC_045512,no
SRR15657795.105,NC_045512,no
SRR15657795.106,NC_045512,no
SRR15657795.107,NC_045512,no
SRR15657795.108,NC_045512,no
SRR15657795.109,NC_045512,no
SRR15657795.110,NC_045512,no
SRR15657795.111,NC_045512,no
SRR15657795.112,NC_045512,no
SRR15657795.113,NC_045512,no
SRR15657795.114,NC_045512,no
SRR15657795.115,NC_045512,no
SRR15657795.116,NC_045512,no
SRR15657795.117,NC_045512,no
SRR15657795.118,NC_045512,no
SRR15657795.119,NC_045512,no
SRR15657795.120,NC_045512,no
SRR15657795.121,NC_045512,no
SRR15657795.122,NC_045512,no
SRR15657795.123,NC_045512,no
SRR15657795.124,NC_045512,no
SRR15657795.125,NC_045512,no
SRR15657795.126,NC_045512,no
SRR15657795.127,NC_045512,no
SRR15657795.128,NC_045512,no
SRR15657795.129,NC_045512,no
SRR15657795.130,NC_045512,no
SRR15657795.131,NC_045512,no
SRR15657795.132,NC_045512,no
SRR15657795.133,NC_045512,no
SRR15657795.134,NC_045512,no
SRR15657795.135,NC_045512,no
SRR15657795.136,NC_045512,no
SRR15657795.137,NC_045512,no
SRR15657795.138,NC_045512,no
SRR15657795.139,NC_045512,no
SRR15657795.140,NC_045512,no
SRR15657795.141,NC_045512,no
SRR15657795.142,NC_045512,no
SRR15657795.143,NC_045512,no
SRR15657795.144,NC_045512,no
SRR15657795.145,NC_045512,no
SRR15657795.146,NC_045512,no
SRR15657795.147,NC_045512,no
SRR15657795.148,NC_045512,no
SRR15657795.149,NC_045512,no
SRR15657795.150,NC_045512,no
SRR15657795.151,NC_045512,no
SRR15657795.152,NC_045512,no
SRR15657795.153,NC_045512,no
SRR15657795.154,NC_045512,no
SRR15657795.155,NC_045512,no
SRR15657795.156,NC_045512,no
SRR15657795.157,NC_045512,no
SRR15657795.158,NC_045512,no
SRR15657795.159,NC_045512,no
SRR15657795.160,NC_045512,no
SRR15657795.161,NC_045512,no
SRR15657795.162,NC_045512,no
SRR15657795.163,NC_045512,no
SRR15657795.164,NC_045512,no
SRR15657795.165,NC_045512,no
SRR15657795.166,NC_045512,no
SRR15657795.167,NC_045512,no
SRR15657795.168,NC_045512,no
SRR15657795.169,NC_045512,no
SRR15657795.170,NC_045512,no
SRR15657795.171,NC_045512,no
SRR15657795.172,NC_045512,no
SRR15657795.173,NC_045512,no
SRR15657795.174,NC_045512,no
SRR15657795.175,NC_045512,no
SRR15657795.176,NC_045512,no
SRR15657795.177,NC_045512,no
SRR15657795.178,NC_045512,no
SRR15657795.179,NC_045512,no
SRR15657795.180,NC_045512,no
SRR15657795.181,NC_045512,no
SRR15657795.182,NC_045512,no
SRR15657795.183,NC_045512,no
SRR15657795.184,NC_045512,no
SRR15657795.185,NC_045512,no
SRR15657795.186,NC_045512,no
SRR15657795.187,NC_045512,no
SRR15657795.188,NC_045512,no
SRR15657795.189,NC_045512,no
SRR15657795.190,NC_045512,no
SRR15657795.191,NC_045512,no
SRR15657795.192,NC_045512,no
