name	taxID	taxRank	genomeSize	numReads	numUniqueReads	abundance
Methylocystis	133	genus	0	8	0	0.0
Spirochaetales	136	order	0	41	0	0.0
Spirochaetaceae	137	family	0	45	0	0.0
Borrelia	138	genus	0	43	6	0.0
Borreliella burgdorferi	139	species	1998154	281	145	0.0
Borrelia hermsii	140	species	1156143	167	106	0.0
Borrelia parkeri	141	species	1030684	150	38	0.0
Borrelia turicatae	142	species	1165365	225	50	0.0
Borrelia anserina	143	species	1042690	140	93	0.0
Spirochaeta thermophila	154	species	2516433	400	319	0.0
Treponema	157	genus	0	9	0	0.0
Treponema denticola	158	species	2843201	125	114	0.0
Brachyspira hyodysenteriae	159	species	3048442	539	369	0.0
Treponema pallidum	160	species	1139203	86	10	0.0
Treponema succinifaciens	167	species	2897425	187	154	0.0
Leptospiraceae	170	family	0	3	0	0.0
Leptospira	171	genus	0	7	0	0.0
Leptospira biflexa	172	species	3953768	240	182	0.0
Leptospira interrogans	173	species	5299867	669	558	0.0
Leptospira borgpetersenii	174	species	3948532	314	267	0.0
Leptospirillum	179	genus	0	1	0	0.0
Leptospirillum ferrooxidans	180	species	2559538	104	79	0.0
Aquaspirillum	187	genus	0	3	0	0.0
Azospirillum	191	genus	0	56	0	0.0
Azospirillum brasilense	192	species	13978806	1457	1093	0.0
Azospirillum lipoferum	193	species	7223069	1422	982	0.0
Campylobacter	194	genus	0	89	1	0.0
Campylobacter coli	195	species	7280491	579	390	0.0
Campylobacter fetus	196	species	2083361	394	299	0.0
Campylobacter jejuni	197	species	7998700	935	702	0.0
Campylobacter hyointestinalis	198	species	1753331	376	271	0.0
Campylobacter concisus	199	species	1969727	353	234	0.0
Campylobacter curvus	200	species	1971270	98	81	0.0
Campylobacter lari	201	species	1576113	1025	594	0.0
Campylobacter sputorum	206	species	1728969	582	451	0.0
Helicobacter	209	genus	0	8	0	0.0
Helicobacter pylori	210	species	2877908	4126	3726	0.0
Helicobacter acinonychis	212	species	1557588	173	122	0.0
Helicobacter cinaedi	213	species	2170766	184	155	0.0
Helicobacter felis	214	species	1672681	105	79	0.0
Helicobacter mustelae	217	species	1578097	152	127	0.0
Achromobacter	222	genus	0	81	0	0.0
Alteromonas	226	genus	0	185	28	0.0
Pseudoalteromonas haloplanktis	228	species	3850272	560	73	8.58228e-16
Brucella	234	genus	0	324	197	0.0
Brucella abortus	235	species	6200071	78	11	0.0
Brucella ovis	236	species	3275590	15	7	0.0
Flavobacterium	237	genus	0	77	0	0.0
Elizabethkingia meningoseptica	238	species	11750998	701	520	0.0
Chryseobacterium indologenes	253	species	15322966	1293	964	0.0
Francisella	262	genus	0	119	4	0.0
Francisella tularensis	263	species	2860943	1657	1022	0.0
Paracoccus	265	genus	0	77	0	0.0
Paracoccus denitrificans	266	species	5236194	614	333	0.0
Thermus	270	genus	0	8	0	0.0
Thermus aquaticus	271	species	2338641	319	192	0.0
Thermus thermophilus	274	species	2199728	795	486	0.0
Meiothermus ruber	277	species	3097457	339	259	0.0
Xanthobacter	279	genus	0	2	0	0.0
Xanthobacter autotrophicus	280	species	5625098	976	453	0.0
Comamonas	283	genus	0	6	0	0.0
Comamonas testosteroni	285	species	5695231	840	549	0.0
Pseudomonas	286	genus	0	1103	269	0.0
Pseudomonas aeruginosa	287	species	33490364	6366	4158	0.0
Pseudoalteromonas atlantica	288	species	4428300	1773	859	0.00489025
Burkholderia cepacia	292	species	17650414	3499	1370	1.4275e-18
Pseudomonas fluorescens	294	species	14826544	8208	3791	0.0
Pseudomonas fragi	296	species	10253943	1823	1377	0.0
Pseudomonas mendocina	300	species	6702726	1750	986	0.0
Pseudomonas putida	303	species	9248003	6743	3909	0
Ralstonia solanacearum	305	species	14666114	3860	2514	0.0
Pseudomonas stutzeri	316	species	9231642	11142	8740	0.0
Pseudomonas syringae	317	species	9007236	2991	1638	0.0
Ralstonia pickettii	329	species	5276379	1034	530	0.0
Pseudomonas pseudoalcaligenes	330	species	4691662	261	95	0.0
Burkholderia glumae	337	species	7333967	1918	921	0.0
Xanthomonas	338	genus	0	338	61	0.0
Xanthomonas campestris	339	species	7252632	4673	3613	0.0
Xanthomonas translucens	343	species	4638247	2509	1094	0.0
Xanthomonas citri	346	species	27582413	7055	3524	0.0
Xanthomonas oryzae	347	species	27499458	12236	8094	0.0
Azotobacter	352	genus	0	20	0	0.0
Azotobacter chroococcum	353	species	5107670	1225	908	0.0
Azotobacter vinelandii	354	species	5351632	495	290	0.0
Rhizobiales	356	order	0	359	2	0.0
Agrobacterium	357	genus	0	44	0	0.0
Agrobacterium tumefaciens	358	species	12204343	2091	1248	0.0
Agrobacterium rhizogenes	359	species	5114384	260	190	0.0
Agrobacterium vitis	373	species	6320946	346	269	0.0
Bradyrhizobium	374	genus	0	85	1	0.0
Bradyrhizobium japonicum	375	species	14285121	1129	742	0.0
Bradyrhizobium sp.	376	species	7547693	844	407	0.0
Rhizobium	379	genus	0	764	421	0.0
Sinorhizobium fredii	380	species	6844330	1183	643	0.0
Mesorhizobium loti	381	species	7481739	1468	1189	0.0
Sinorhizobium meliloti	382	species	16976189	1304	978	0.0
Rhizobium leguminosarum	384	species	10661761	2489	1736	0.0
Rhizobium phaseoli	396	species	47253275	1460	912	0.0
Rhizobium tropici	398	species	6686334	315	194	0.0
Neorhizobium galegae	399	species	6434105	487	324	0.0
Methylococcaceae	403	family	0	17	0	0.0
Methylobacillus	404	genus	0	1	0	0.0
Methylobacillus flagellatus	405	species	2971517	173	143	0.0
Methylobacterium	407	genus	0	84	2	0.0
Methylobacterium extorquens	408	species	7205068	2113	1210	0.0
Methylococcus	413	genus	0	1	0	0.0
Methylococcus capsulatus	414	species	3304561	206	144	0.0
Methylomonas	416	genus	0	126	0	0.0
Methylomonas methanica	421	species	5051681	234	183	0.0
Methylosinus	425	genus	0	12	0	0.0
Methylosinus trichosporium	426	species	5183433	615	460	0.0
Acetobacteraceae	433	family	0	36	0	0.0
Acetobacter	434	genus	0	33	0	0.0
Acetobacter aceti	435	species	3725037	177	143	0.0
Acetobacter pasteurianus	438	species	3923629	1204	555	0.0
Gluconobacter	441	genus	0	6	0	0.0
Gluconobacter oxydans	442	species	4038076	463	349	0.0
Legionellaceae	444	family	0	18	0	0.0
Legionella	445	genus	0	49	0	0.0
Legionella pneumophila	446	species	27794251	2428	2103	0.0
Legionella hackeliae	449	species	3570857	461	332	0.0
Legionella longbeachae	450	species	6281519	517	335	0.0
Tatlockia micdadei	451	species	9836958	361	245	0.0
Legionella spiritensis	452	species	3348070	224	164	0.0
Tatlockia	465	genus	0	2	0	0.0
Moraxellaceae	468	family	0	59	0	0.0
Acinetobacter	469	genus	0	189	44	0.0
Acinetobacter baumannii	470	species	22550484	3034	1588	0
Acinetobacter calcoaceticus	471	species	8244977	1092	363	0.0
Moraxella	475	genus	0	22	0	0.0
Moraxella catarrhalis	480	species	5768588	674	488	0.0
Neisseriaceae	481	family	0	16	0	0.0
Neisseria	482	genus	0	13	1	0.0
Neisseria gonorrhoeae	485	species	8294881	248	151	0.0
Neisseria lactamica	486	species	2183664	158	45	0.0
Neisseria meningitidis	487	species	9765549	978	594	0.0
Neisseria mucosa	488	species	2688408	122	19	0.0
Neisseria sicca	490	species	2783943	128	30	0.0
Neisseria elongata	495	species	2256647	150	104	0.0
Psychrobacter	497	genus	0	111	12	0.0
Thermomicrobium roseum	500	species	2920744	106	89	0.0
Alcaligenaceae	506	family	0	58	0	0.0
Alcaligenes	507	genus	0	19	0	0.0
Alcaligenes faecalis	511	species	16449801	3586	1477	0.0
Bordetella	517	genus	0	111	0	0.0
Bordetella bronchiseptica	518	species	9103328	1086	300	0.0
Bordetella parapertussis	519	species	6406911	549	81	0.0
Bordetella pertussis	520	species	237655209	565	167	0.0
Bordetella avium	521	species	3732255	210	149	0.0
Acidiphilium	522	genus	0	12	0	0.0
Acidiphilium cryptum	524	species	3963080	440	90	0.0
Ochrobactrum	528	genus	0	8	0	0.0
Ochrobactrum anthropi	529	species	5053471	234	167	0.0
Beijerinckia indica	533	species	4418616	586	383	0.0
Chromobacterium	535	genus	0	16	0	0.0
Chromobacterium violaceum	536	species	4568609	609	353	0.0
Eikenella corrodens	539	species	2192577	219	163	0.0
Zymomonas mobilis	542	species	2378539	571	459	0.0
Enterobacteriaceae	543	family	0	423	6	0.0
Citrobacter	544	genus	0	138	6	0.0
Citrobacter koseri	545	species	12203313	218	121	0.0
Citrobacter freundii	546	species	37135395	1181	598	0.0
Enterobacter	547	genus	0	357	38	0.0
Klebsiella aerogenes	548	species	19493298	4409	3134	0.0
Pantoea agglomerans	549	species	9924096	612	299	0.0
Enterobacter cloacae	550	species	20949008	8782	895	0
Erwinia	551	genus	0	12	0	0.0
Erwinia amylovora	552	species	3858195	206	131	0.0
Pantoea ananatis	553	species	5872423	610	358	0.0
Pectobacterium carotovorum	554	species	7373255	794	478	0.0
Escherichia	561	genus	0	10	0	0.0
Escherichia coli	562	species	27661575	11234	7048	0
Shimwellia blattae	563	species	4158725	181	110	0.0
Escherichia fergusonii	564	species	4643861	157	88	0.0
Hafnia	568	genus	0	24	0	0.0
Hafnia alvei	569	species	6928437	656	335	0.0
Klebsiella	570	genus	0	189	2	0.0
Klebsiella oxytoca	571	species	42961048	1352	341	0.0
Klebsiella pneumoniae	573	species	42121877	5076	2119	0.0
Raoultella planticola	575	species	5823931	329	218	0.0
Morganella	581	genus	0	7	0	0.0
Morganella morganii	582	species	11874077	382	204	1.06625e-112
Proteus	583	genus	0	4	0	0.0
Proteus mirabilis	584	species	23312057	2047	1159	5.46428e-05
Proteus vulgaris	585	species	3961988	613	398	0.0
Providencia	586	genus	0	2	0	0.0
Providencia rettgeri	587	species	9407694	561	385	0.0
Providencia stuartii	588	species	13206092	697	378	0.000368977
Salmonella	590	genus	0	9	0	0.0
Serratia	613	genus	0	206	20	0.0
Serratia liquefaciens	614	species	7947058	533	370	0.0
Serratia marcescens	615	species	24300653	3827	2024	9.19703e-18
Shigella	620	genus	0	10	0	0.0
Shigella dysenteriae	622	species	4873338	208	53	0.0
Shigella flexneri	623	species	4828820	70	8	0.0
Xenorhabdus	626	genus	0	15	0	0.0
Xenorhabdus nematophila	628	species	4586662	271	165	0.0
Yersinia	629	genus	0	134	13	0.0
Yersinia enterocolitica	630	species	12732490	2056	1422	0.0
Yersinia intermedia	631	species	9820399	447	72	0.0
Yersinia pestis	632	species	7124135	1525	752	0.0
Yersinia pseudotuberculosis	633	species	10364796	1988	773	0.0
Edwardsiella	635	genus	0	70	4	0.0
Edwardsiella tarda	636	species	4957945	130836	128627	0.0
Vibrionaceae	641	family	0	133	0	0.0
Aeromonas	642	genus	0	321	113	0.0
Aeromonas hydrophila	644	species	8284946	2858	1449	0.0
Aeromonas salmonicida	645	species	8702641	1685	1184	0.0
Aeromonas caviae	648	species	4518310	171	23	0.0
Aeromonas media	651	species	4788430	250	132	0.0
Aeromonas schubertii	652	species	4400034	256	150	0.0
Aeromonas veronii	654	species	11743161	1023	653	0.0
Photobacterium	657	genus	0	8	0	0.0
Vibrio	662	genus	0	341	27	0.0
Vibrio alginolyticus	663	species	37918770	1430	741	4.62258e-05
Vibrio cholerae	666	species	12622139	979	406	0.000193561
Aliivibrio fischeri	668	species	4273718	871	525	0.0
Vibrio harveyi	669	species	24177087	987	600	0.0
Vibrio parahaemolyticus	670	species	16444666	3029	2219	3.56639e-05
Vibrio vulnificus	672	species	14482894	2500	2057	0.0
Grimontia hollisae	673	species	3998439	303	222	0.0
Vibrio mimicus	674	species	8922712	572	359	0.0
Vibrio fluvialis	676	species	14546945	378	248	0.0
Vibrio campbellii	680	species	15852206	1280	734	8.41715e-51
Vibrio gazogenes	687	species	4786552	566	353	0.0
Vibrio natriegens	691	species	13279594	857	488	0.0
Plesiomonas	702	genus	0	4	0	0.0
Plesiomonas shigelloides	703	species	7376338	733	387	0.0
Pasteurellaceae	712	family	0	61	3	0.0
Actinobacillus	713	genus	0	5	0	0.0
Aggregatibacter actinomycetemcomitans	714	species	3734239	295	210	0.0
Actinobacillus pleuropneumoniae	715	species	2299903	349	132	0.0
Actinobacillus suis	716	species	2501778	172	63	0.0
Actinobacillus equuli	718	species	2431533	268	119	0.0
Haemophilus	724	genus	0	28	0	0.0
Haemophilus influenzae	727	species	4440041	2752	1757	0.0
Haemophilus parainfluenzae	729	species	2086875	232	149	0.0
[Haemophilus] ducreyi	730	species	10971947	1090	355	0.0
Histophilus somni	731	species	6471723	497	353	1.18495e-17
Aggregatibacter aphrophilus	732	species	3520359	401	240	0.0
Glaesserella parasuis	738	species	5699427	482	286	0.0
Pasteurella	745	genus	0	30	0	0.0
Pasteurella multocida	747	species	6998341	1495	844	0.0
Gallibacterium anatis	750	species	2694139	292	211	0.0
Pasteurella dagmatis	754	species	2287213	393	234	0.0
Rickettsiales	766	order	0	22	0	0.0
Anaplasma	768	genus	0	2	0	0.0
Anaplasma centrale	769	species	1206806	66	45	0.0
Anaplasma marginale	770	species	1200061	89	58	0.0
Bartonellaceae	772	family	0	5	0	0.0
Bartonella	773	genus	0	108	29	0.0
Bartonella bacilliformis	774	species	1444215	387	274	0.0
Rickettsiaceae	775	family	0	12	0	0.0
Coxiella	776	genus	0	5	0	0.0
Coxiella burnetii	777	species	2581550	515	353	0.0
Ehrlichia ruminantium	779	species	2264626	590	461	0.0
Rickettsia	780	genus	0	285	216	0.0
Rickettsia conorii	781	species	1268755	10	1	0.0
Rickettsia prowazekii	782	species	1111249	314	142	0.0
Rickettsia rickettsii	783	species	1392273	57	15	0.0
Orientia tsutsugamushi	784	species	2068019	616	520	0.0
Rickettsia typhi	785	species	1112275	357	189	0.0
Rickettsia akari	786	species	1231060	195	113	0.0
Rickettsia australis	787	species	1323280	202	88	0.0
Rickettsia canadensis	788	species	1155000	239	166	0.0
Bartonella quintana	803	species	1581384	319	168	0.0
Chlamydiaceae	809	family	0	2	0	0.0
Chlamydia	810	genus	0	14	0	0.0
Chlamydia trachomatis	813	species	1744976	88	68	0.0
Bacteroidaceae	815	family	0	4	0	0.0
Bacteroides	816	genus	0	5	0	0.0
Bacteroides fragilis	817	species	9153664	449	377	0.0
Bacteroides thetaiotaomicron	818	species	6390542	326	262	0.0
Bacteroides vulgatus	821	species	5163189	267	157	0.0
Parabacteroides distasonis	823	species	4811379	332	62	0.0
Campylobacter gracilis	824	species	2281652	299	282	0.0
Sebaldella termitidis	826	species	4486650	300	232	0.0
Campylobacter ureolyticus	827	species	1641887	400	307	0.0
Fibrobacter succinogenes	833	species	7685639	543	449	0.0
Porphyromonas	836	genus	0	11	0	0.0
Porphyromonas gingivalis	837	species	7948672	349	263	1.96615e-05
Prevotella	838	genus	0	15	0	0.0
Prevotella ruminicola	839	species	3619559	237	190	0.0
Roseburia	841	genus	0	2	0	0.0
Wolinella succinogenes	844	species	2110355	74	55	0.0
Oxalobacter formigenes	847	species	2451262	175	133	0.000201051
Fusobacterium	848	genus	0	24	2	0.0
Fusobacterium gonidiaformans	849	species	1678881	258	184	0.0
Fusobacterium mortiferum	850	species	2716766	434	341	0.0
Fusobacterium nucleatum	851	species	3173553	5868	4988	0.0
Faecalibacterium prausnitzii	853	species	5978976	851	769	0.0
Fusobacterium varium	856	species	3734649	1062	843	0.0
Fusobacterium necrophorum	859	species	2286018	171	141	0.0
Fusobacterium periodonticum	860	species	24013616	1581	1121	0.0
Fusobacterium ulcerans	861	species	3537675	451	304	0.0
Syntrophomonas	862	genus	0	1	0	0.0
Syntrophomonas wolfei	863	species	2936195	311	242	0
Cardiobacteriaceae	868	family	0	1	0	0.0
Dichelobacter	869	genus	0	2	0	0.0
Dichelobacter nodosus	870	species	1389350	248	173	0.0
Desulfovibrio	872	genus	0	10	0	0.0
Desulfovibrio africanus	873	species	4200534	348	243	0.0
Desulfovibrio desulfuricans	876	species	3366008	574	428	0.0
Desulfovibrio salexigens	880	species	4289847	140	115	0.0
Desulfovibrio vulgaris	881	species	3802302	935	606	0.0
Desulfuromonas	890	genus	0	26	0	0.0
Desulfococcus multivorans	897	species	8911375	201	156	0.0
Desulfomicrobium	898	genus	0	2	0	0.0
Desulfomicrobium baculatum	899	species	3942657	187	117	0.0
Desulfovibrio piger	901	species	2807531	183	137	0.0
Acidaminococcus fermentans	905	species	2329769	112	92	0.0
Megasphaera	906	genus	0	2	0	0.0
Megasphaera elsdenii	907	species	2516494	295	191	0.0
Nitrobacter	911	genus	0	9	0	0.0
Nitrobacter hamburgensis	912	species	5011522	413	278	0.0
Nitrobacter winogradskyi	913	species	3402093	225	151	0.0
Nitrosomonas	914	genus	0	3	0	0.0
Nitrosomonas europaea	915	species	2812094	197	155	0
Nitrosomonas eutropha	916	species	2781824	294	237	0
Acidithiobacillus ferrooxidans	920	species	2933717	404	349	0.0
Starkeya novella	921	species	4765023	605	423	0.0
Thiomonas intermedia	926	species	3402761	565	416	0.0
Halothiobacillus neapolitanus	927	species	2582886	176	114	0.0
Thiomicrospira	933	genus	0	2	0	0.0
Hydrogenobacter thermophilus	940	species	3486067	64	52	0.0
Anaplasmataceae	942	family	0	7	0	0.0
Ehrlichia	943	genus	0	19	0	0.0
Ehrlichia canis	944	species	1314909	477	338	0.0
Ehrlichia chaffeensis	945	species	1174554	405	263	0.0
Anaplasma phagocytophilum	948	species	1493914	227	170	0.0
Neorickettsia risticii	950	species	879977	93	52	0.0
Neorickettsia sennetsu	951	species	859006	108	69	0.0
Wolbachia	953	genus	0	49	12	0.0
Francisella persica	954	species	3057444	338	189	0.0
Bdellovibrio	958	genus	0	4	0	0.0
Bdellovibrio bacteriovorus	959	species	4594625	724	601	0.0
Bacteriovorax stolpii	960	species	3810309	246	194	0.0
Herbaspirillum	963	genus	0	30	0	0.0
Herbaspirillum seropedicae	964	species	8221139	2708	1874	0.0
Selenomonas	970	genus	0	34	0	0.0
Selenomonas ruminantium	971	species	3631933	233	211	0.0
Halanaerobiaceae	972	family	0	2	0	0.0
Bacteroidetes	976	phylum	0	18	0	0.0
Cytophaga	978	genus	0	6	0	0.0
Cellulophaga lytica	979	species	5771544	3095	2271	0.0
Pedobacter heparinus	984	species	5167383	443	326	0.0
Cytophaga hutchinsonii	985	species	4433218	605	412	0.0
Flavobacterium johnsoniae	986	species	5603295	4282	3265	0.0
Solitalea canadensis	995	species	5202069	826	643	0.0
Flavobacterium columnare	996	species	8008155	2919	2111	4.14433e-28
Bernardetia litoralis	999	species	4919337	1480	1158	7.78626e-19
Marivirga tractuosa	1006	species	4516490	1019	784	0.0
Saprospira	1007	genus	0	2	0	0.0
Saprospira grandis	1008	species	4400185	473	289	3.55173e-05
Sphingobacterium mizutaii	1010	species	4653048	383	301	0.0
Weeksella virosa	1014	species	2272954	520	400	0.0
Capnocytophaga	1016	genus	0	89	14	0.0
Capnocytophaga gingivalis	1017	species	2838633	550	396	0.0
Capnocytophaga ochracea	1018	species	2612925	500	175	0.0
Capnocytophaga sputigena	1019	species	9028510	1322	764	0.0
Beggiatoa	1021	genus	0	5	0	0.0
Erythrobacter	1041	genus	0	59	0	0.0
Chromatiaceae	1046	family	0	17	0	0.0
Allochromatium vinosum	1049	species	3669074	342	255	0.0
Ectothiorhodospira	1051	genus	0	1	0	0.0
Halorhodospira halophila	1053	species	2678452	256	208	0.0
Rhodobacter	1060	genus	0	27	0	0.0
Rhodobacter capsulatus	1061	species	3871920	583	348	2.44944e-17
Rhodobacter sphaeroides	1063	species	6930832	1657	1151	0
Rhodomicrobium	1068	genus	0	4	0	0.0
Rhodomicrobium vannielii	1069	species	4014469	221	162	0.0
Rhodopseudomonas	1073	genus	0	38	0	0.0
Rhodopseudomonas palustris	1076	species	6062656	3689	2781	0.0
Blastochloris viridis	1079	species	11174693	455	338	0.0
Rhodospirillum	1081	genus	0	5	0	0.0
Pararhodospirillum photometricum	1084	species	3876289	298	243	0.0
Rhodospirillum rubrum	1085	species	4379691	382	270	0.0
Chlorobium	1091	genus	0	8	0	0.0
Chlorobium limicola	1092	species	2763181	181	109	0.0
Chlorobium phaeovibrioides	1094	species	1966858	107	71	0.0
Chlorobium phaeobacteroides	1096	species	2935152	840	734	0.0
Chlorobaculum tepidum	1097	species	2154946	123	79	0.0
Pelodictyon	1099	genus	0	3	0	0.0
Pelodictyon luteolum	1100	species	2364842	89	69	0.0
Prosthecochloris	1101	genus	0	9	0	0.0
Prosthecochloris aestuarii	1102	species	2579695	132	83	0.0
Chloroflexaceae	1106	family	0	1	0	0.0
Chloroflexus	1107	genus	0	10	0	0.0
Chloroflexus aurantiacus	1108	species	5258541	214	0	0.0
Porphyrobacter	1111	genus	0	17	0	0.0
Porphyrobacter neustonensis	1112	species	3090363	232	141	0.0
Cyanobacteria	1117	phylum	0	23	3	0.0
Chroococcales	1118	order	0	73	0	0.0
Microcystis	1125	genus	0	37	0	0.0
Microcystis aeruginosa	1126	species	4930969	3312	2122	0.0
Synechococcus	1129	genus	0	189	34	0.0
Synechocystis	1142	genus	0	110	0	0.0
Synechocystis sp. PCC 6714	1147	species	3738889	657	523	0.0
Synechocystis sp. PCC 6803	1148	species	6436711	260	0	0.0
Oscillatoriales	1150	order	0	181	0	0.0
Pseudanabaena	1152	genus	0	2	0	0.0
Oscillatoria	1158	genus	0	14	0	0.0
Nostocales	1161	order	0	103	0	0.0
Nostocaceae	1162	family	0	62	0	0.0
Anabaena	1163	genus	0	9	0	0.0
Trichormus azollae	1164	species	5486145	801	462	0.0
Anabaena cylindrica	1165	species	7063285	932	573	0.0
Nostoc	1177	genus	0	98	0	0.0
Leptolyngbya boryana	1184	species	6946868	302	194	0.0
Rivulariaceae	1185	family	0	68	0	0.0
Calothrix	1186	genus	0	52	0	0.0
Fischerella	1190	genus	0	26	0	0.0
Trichodesmium	1205	genus	0	10	0	0.0
Trichodesmium erythraeum	1206	species	7750108	1232	946	0.0
Prochloraceae	1213	family	0	3	0	0.0
Prochlorococcus	1218	genus	0	13	0	0.0
Prochlorococcus marinus	1219	species	1799150	3426	2360	0.0
Proteobacteria	1224	phylum	0	336	0	0.0
Nitrosococcus	1227	genus	0	24	0	0.0
Nitrosococcus oceani	1229	species	3522111	218	157	0.0
Nitrosospira multiformis	1231	species	3234309	104	77	0.0
Nitrospira	1234	genus	0	7	0	0.0
Gammaproteobacteria	1236	class	0	1135	30	0.0
Piscirickettsia	1237	genus	0	1	0	0.0
Piscirickettsia salmonis	1238	species	32753807	1413	1136	0.0
Firmicutes	1239	phylum	0	36	0	0.0
Leuconostoc	1243	genus	0	19	0	0.0
Leuconostoc gelidum	1244	species	1966103	285	228	0.0
Leuconostoc mesenteroides	1245	species	3027256	456	331	0.000154875
Leuconostoc lactis	1246	species	1788069	108	64	0.0
Oenococcus oeni	1247	species	1780517	150	112	0.0
Weissella paramesenteroides	1249	species	1947910	131	102	0.0
Leuconostoc carnosum	1252	species	1773468	165	111	0.0
Pediococcus	1253	genus	0	2	0	0.0
Pediococcus acidilactici	1254	species	10599728	253	195	0.0
Pediococcus pentosaceus	1255	species	3694260	299	234	0.0
Finegoldia magna	1260	species	1986740	247	190	0.0
Ruminococcus albus	1264	species	4482087	275	231	0.0
Micrococcaceae	1268	family	0	48	0	0.0
Micrococcus	1269	genus	0	2	0	0.0
Micrococcus luteus	1270	species	2501097	332	238	0.0
Dermacoccus nishinomiyaensis	1274	species	3113642	549	404	0.0
Kytococcus sedentarius	1276	species	2785024	223	167	0.0
Staphylococcus	1279	genus	0	75	8	0.0
Staphylococcus aureus	1280	species	13150441	1755	1175	0.0
Staphylococcus carnosus	1281	species	2605765	272	152	0.0
Staphylococcus epidermidis	1282	species	6505285	675	531	0.0
Staphylococcus haemolyticus	1283	species	6578066	338	227	0.0
Staphylococcus hyicus	1284	species	2472129	247	202	0.0
Staphylococcus simulans	1286	species	11178520	288	239	0.0
Staphylococcus xylosus	1288	species	11321211	532	368	0.0
Staphylococcus hominis	1290	species	2253412	294	204	6.93537e-05
Staphylococcus warneri	1292	species	2560716	295	188	0.0
Staphylococcus muscae	1294	species	4190247	174	148	0.0
Staphylococcus schleiferi	1295	species	12494798	315	233	0.0
Staphylococcus sciuri	1296	species	2853815	450	344	0.0
Deinococcus	1298	genus	0	21	9	0.0
Deinococcus radiodurans	1299	species	6628921	301	230	0.0
Streptococcaceae	1300	family	0	11	0	0.0
Streptococcus	1301	genus	0	93	9	0.0
Streptococcus gordonii	1302	species	5507044	353	254	0.0
Streptococcus oralis	1303	species	2622604	279	205	0.0
Streptococcus salivarius	1304	species	5867551	600	349	0.0
Streptococcus sanguinis	1305	species	2388435	80	60	0.0
Streptococcus suis	1307	species	3647182	505	389	0.0
Streptococcus thermophilus	1308	species	5060673	221	138	0.0
Streptococcus mutans	1309	species	2365621	231	181	0.0
Streptococcus agalactiae	1311	species	11084941	456	183	0.0
Streptococcus pneumoniae	1313	species	3095035	427	260	0.0
Streptococcus pyogenes	1314	species	5095760	809	559	0.0
Streptococcus parasanguinis	1318	species	2162630	258	223	0.0
Streptococcus sp. 'group B'	1319	species	2178261	209	3	0.0
Blautia hansenii	1322	species	3065949	211	157	0.0
