 86.53	14031432	14031432	U	0	unclassified
 13.47	2185021	922	R	1	root
 13.43	2177166	29253	R1	131567	  cellular organisms
  9.11	1476665	0	D	2759	    Eukaryota
  9.11	1476665	0	D1	33154	      Opisthokonta
  9.11	1476665	0	K	33208	        Metazoa
  9.11	1476665	0	K1	6072	          Eumetazoa
  9.11	1476665	0	K2	33213	            Bilateria
  9.11	1476665	0	K3	33511	              Deuterostomia
  9.11	1476665	0	P	7711	                Chordata
  9.11	1476665	0	P1	89593	                  Craniata
  9.11	1476665	0	P2	7742	                    Vertebrata
  9.11	1476665	0	P3	7776	                      Gnathostomata
  9.11	1476665	0	P4	117570	                        Teleostomi
  9.11	1476665	0	P5	117571	                          Euteleostomi
  9.11	1476665	0	P6	8287	                            Sarcopterygii
  9.11	1476665	0	P7	1338369	                              Dipnotetrapodomorpha
  9.11	1476665	0	P8	32523	                                Tetrapoda
  9.11	1476665	0	P9	32524	                                  Amniota
  9.11	1476665	0	C	40674	                                    Mammalia
  9.11	1476665	0	C1	32525	                                      Theria
  9.11	1476665	0	C2	9347	                                        Eutheria
  9.11	1476665	0	C3	1437010	                                          Boreoeutheria
  9.11	1476665	0	C4	314146	                                            Euarchontoglires
  9.11	1476665	0	O	9443	                                              Primates
  9.11	1476665	0	O1	376913	                                                Haplorrhini
  9.11	1476665	0	O2	314293	                                                  Simiiformes
  9.11	1476665	0	O3	9526	                                                    Catarrhini
  9.11	1476665	0	O4	314295	                                                      Hominoidea
  9.11	1476665	0	F	9604	                                                        Hominidae
  9.11	1476665	0	F1	207598	                                                          Homininae
  9.11	1476665	0	G	9605	                                                            Homo
  9.11	1476665	1476665	S	9606	                                                              Homo sapiens
  4.12	667688	21541	D	2	    Bacteria
  2.67	432404	9327	P	1224	      Proteobacteria
  1.59	258518	2210	C	28211	        Alphaproteobacteria
  1.24	200858	346	O	54526	          Pelagibacterales
  1.23	198980	1968	F	1655514	            Pelagibacteraceae
  1.15	187141	3310	G	198251	              Candidatus Pelagibacter
  0.93	151084	0	S	198252	                Candidatus Pelagibacter ubique
  0.93	151084	151084	S1	335992	                  Candidatus Pelagibacter ubique HTCC1062
  0.07	10976	10976	S	1388755	                Candidatus Pelagibacter sp. HIMB1321
  0.05	8576	8576	S	1977864	                Candidatus Pelagibacter sp. RS39
  0.04	6700	6700	S	1977865	                Candidatus Pelagibacter sp. RS40
  0.04	6495	6495	S	1002672	                Candidatus Pelagibacter sp. IMCC9063
  0.06	9871	12	F1	1655516	              unclassified Pelagibacteraceae
  0.06	9410	9410	S	859653	                alpha proteobacterium HIMB5
  0.00	449	449	S	744985	                alpha proteobacterium HIMB59
  0.01	1532	0	G	2045213	            Candidatus Fonsibacter
  0.01	1532	1532	S	1925548	              Candidatus Fonsibacter ubiquis
  0.22	35519	47	O	204455	          Rhodobacterales
  0.22	35255	3650	F	31989	            Rhodobacteraceae
  0.05	7920	301	G	53945	              Octadecabacter
